[DEBUG] 2022-06-14 19:45:47.887 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:48.495 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 592ms, rows: 10000
[DEBUG] 2022-06-14 19:45:48.515 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:48.518 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:48.530 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:48.533 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:49.153 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 603ms, rows: 10000
[DEBUG] 2022-06-14 19:45:49.174 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:49.177 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:49.190 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:49.193 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 3ms, rows: 1
[DEBUG] 2022-06-14 19:45:49.793 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 580ms, rows: 10000
[DEBUG] 2022-06-14 19:45:49.811 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:49.814 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:49.827 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:49.829 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:50.446 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 600ms, rows: 10000
[DEBUG] 2022-06-14 19:45:50.466 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:50.470 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 19:45:50.483 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0, time: 2ms, rows: 10
[DEBUG] 2022-06-14 19:45:50.486 [main] StatisticsImpl - HHH000117: HQL: select count(generatedAlias0) from orders as generatedAlias0, time: 2ms, rows: 1
[DEBUG] 2022-06-14 20:16:46.030 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:17:16.788 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:17:20.174 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 1451ms, rows: 8971
[DEBUG] 2022-06-14 20:20:30.678 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:22:01.050 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:23:34.927 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:26:46.920 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:27:09.048 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:27:11.563 [main] StatisticsImpl - HHH000117: HQL: select o.creationDate, o.deliveryDate from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 683ms, rows: 8971
[DEBUG] 2022-06-14 20:29:00.373 [main] StatisticsInitiator - Statistics initialized [enabled=true]
[DEBUG] 2022-06-14 20:29:02.936 [main] StatisticsImpl - HHH000117: HQL: select new com.example.persistencelayer.model.OrderDto(o.creationDate, o.deliveryDate) from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 716ms, rows: 8971
[DEBUG] 2022-06-14 20:41:50.866 [main] StatisticsInitiator - Statistics initialized [enabled=true]
